# INVALID: stale pre-fix output used Mpc/h conversion r_Mpc/h instead of r_Mpc*h
# and lacked dimensional FKP normalization. Do not use for physical or shape inference.
# k_legacy[mis-scaled] S_legacy[arbitrary]
7.950000000000000469e-03 3.796284427945054496e+00
1.384999999999999946e-02 2.883644034611128060e+00
1.975000000000000019e-02 2.278151677152093324e+00
2.564999999999999919e-02 2.080524735035719885e+00
3.154999999999999472e-02 1.479891553814877136e+00
3.744999999999999718e-02 1.344044844807974259e+00
4.334999999999999964e-02 1.235718703196701407e+00
4.924999999999999517e-02 9.504219724684740411e-01
5.514999999999999764e-02 8.200536146911986402e-01
6.105000000000000010e-02 7.448201328907123608e-01
6.695000000000000950e-02 7.055341464467614898e-01
7.284999999999999809e-02 5.300388110028172450e-01
7.875000000000001443e-02 5.052751551297994803e-01
8.465000000000000302e-02 4.535023769551319028e-01
9.054999999999999161e-02 4.246627413792767314e-01
9.645000000000000795e-02 4.061165406538940204e-01
1.023499999999999965e-01 3.490284112742130795e-01
1.082500000000000129e-01 3.339236862460625010e-01
1.141500000000000015e-01 2.859463696391424947e-01
1.200499999999999901e-01 2.655225862387207147e-01
1.259500000000000064e-01 2.284138291856612490e-01
1.318499999999999950e-01 2.198783872408744677e-01
1.377499999999999836e-01 2.006544248801188091e-01
1.436499999999999999e-01 1.970620037071287023e-01
1.495500000000000163e-01 1.749309319594757883e-01
1.554500000000000048e-01 1.610367797720398397e-01
1.613499999999999934e-01 1.487895137541271062e-01
1.672500000000000098e-01 1.468781086700890193e-01
1.731499999999999984e-01 1.451872885611635300e-01
1.790499999999999869e-01 1.318620842935903092e-01
1.849500000000000033e-01 1.211627550044910573e-01
1.908500000000000196e-01 1.132825243689369460e-01
1.967499999999999805e-01 1.084626882244695834e-01
2.026499999999999968e-01 1.104768946264269025e-01
2.085500000000000131e-01 9.389189115302988553e-02
2.144500000000000017e-01 8.101926198387299216e-02
2.203499999999999903e-01 8.674942444200141323e-02
2.262500000000000067e-01 8.392898254174135930e-02
2.321499999999999952e-01 7.578930898667023131e-02
2.380499999999999838e-01 7.362234870382829144e-02
2.439500000000000002e-01 6.608320756973964927e-02
2.498499999999999888e-01 5.972713163663835589e-02
2.557499999999999774e-01 5.243722542755026306e-02
2.616499999999999937e-01 4.784221334188835939e-02
2.675500000000000100e-01 5.521759104149249336e-02
2.734499999999999709e-01 4.189053552877695930e-02
2.793499999999999872e-01 4.412379005282957012e-02
2.852500000000000036e-01 4.426284955997982634e-02
2.911500000000000199e-01 4.065065814026348062e-02
2.970499999999999807e-01 4.387582408040394122e-02
