#k_eff[h/Mpc] P0[(Mpc/h)^3]
7.492999999999999661e-03 8.951314202400000067e+04
1.606600000000000042e-02 6.143181249799999932e+04
2.566299999999999831e-02 4.915389331200000015e+04
3.547399999999999859e-02 4.092518634600000223e+04
4.536400000000000154e-02 3.247585612499999843e+04
5.529799999999999993e-02 2.833494198899999901e+04
6.525899999999999757e-02 2.425023256499999843e+04
7.522600000000000120e-02 2.125692261599999983e+04
8.519999999999999796e-02 1.851531957999999941e+04
9.517899999999999971e-02 1.561651829700000053e+04
1.051669999999999966e-01 1.323918282399999953e+04
1.151530000000000054e-01 1.184639961799999946e+04
1.251379999999999992e-01 1.111188609200000064e+04
1.351289999999999991e-01 9.730390498999999181e+03
1.451149999999999940e-01 8.686485060000000885e+03
1.551099999999999979e-01 7.850042899000000034e+03
1.651060000000000028e-01 6.917827234000000317e+03
1.750990000000000046e-01 6.457990917000000081e+03
1.850920000000000065e-01 6.080081024000000070e+03
1.950860000000000094e-01 5.646650539999999637e+03
2.050849999999999895e-01 5.220066049000000021e+03
2.150789999999999924e-01 4.817684725000000071e+03
2.250739999999999963e-01 4.465455734999999549e+03
2.350710000000000022e-01 4.106431886000000304e+03
2.450680000000000081e-01 3.925423788999999942e+03
2.550640000000000129e-01 3.723934454000000187e+03
2.650620000000000198e-01 3.468355391999999938e+03
2.750589999999999979e-01 3.260575026999999864e+03
2.850550000000000028e-01 2.961821684999999889e+03
2.950570000000000137e-01 2.805044892999999774e+03
3.050579999999999958e-01 2.694104243000000224e+03
3.150540000000000007e-01 2.581106621999999788e+03
