name,m,n,frac,delta,psi,dpsi,s,special
t,172.69,80.6239513824602,0.6239513824602057,0.12395138246020565,-0.3134871689225767,0.017696509226282967,0.12395138246020565,0.5
H,125.25,81.29140451412799,0.29140451412798996,-0.20859548587201004,1.3166445385882846,0.013826260287658201,0.20859548587201004,0.5
Z,91.1876,81.9509743761149,0.9509743761148997,-0.049025623885100345,0.5344393327700998,0.00023459408130061142,0.049025623885100345,1
W,80.369,82.21341679056457,0.21341679056456542,0.21341679056456542,-0.7520430910027717,0.0016477386520394872,0.21341679056456542,0
Upsilon,9.4603,86.65953453589228,0.6595345358922771,0.15953453589227706,-0.4879143916288092,0.00027996386525958283,0.15953453589227706,0.5
B_c,6.27447,87.51282835443953,0.5128283544395345,0.01282835443953445,0.23123355666894876,0.0004708195548538621,0.01282835443953445,0.5
Lambda_b,5.6196,87.74189282576734,0.7418928257673372,0.24189282576733717,-0.891631498859496,0.0030816056321253996,0.24189282576733717,0.5
B_s,5.36688,87.83751340388724,0.8375134038872432,-0.16248659611275684,1.0906205691801807,0.0003606328281822915,0.16248659611275684,1
B,5.27934,87.871688881969,0.871688881969007,-0.12831111803099304,0.9230937158382012,0.00023154486570569846,0.12831111803099304,1
b,4.18,88.35690107171399,0.35690107171399177,-0.14309892828600823,0.995582981794158,0.07311029134657429,0.14309892828600823,0.5
psi(2S),3.6861,88.6182044134629,0.6182044134629052,0.11820441346290522,-0.2853157522691433,0.00035926075723871176,0.11820441346290522,0.5
J/psi,3.0969,88.98013936254777,0.9801393625477743,-0.01986063745222566,0.39147371300110617,0.00032893217715423,0.01986063745222566,1
Lambda_c,2.28646,89.61062437015003,0.6106243701500347,0.11062437015003468,-0.24815867720605236,0.0006237319188616941,0.11062437015003468,0.5
D_s,1.96835,89.9219407880541,0.9219407880541013,-0.07805921194589871,0.6767608428720525,0.0003622674024438004,0.07805921194589871,1
D,1.86484,90.03419981204706,0.03419981204706346,0.03419981204706346,0.12647150957321832,0.0002731253242715019,0.03419981204706346,0
tau,1.77686,90.13462855135367,0.13462855135367136,0.13462855135367136,-0.36582623212584003,0.0006879574481471371,0.13462855135367136,0
Omega,1.67245,90.26047363919206,0.2604736391920568,-0.2395263608079432,1.4682664745487413,0.001766356645845264,0.2395263608079432,0.5
Xi*,1.5318,90.44302547632307,0.4430254763230721,-0.0569745236769279,0.5734045278280779,0.008645195699553567,0.0569745236769279,0.5
Sigma*,1.3837,90.65433043290338,0.6543304329033788,0.15433043290337878,-0.4624040828596999,0.01177908574897952,0.15433043290337878,0.5
Xi,1.31486,90.76037702600853,0.760377026008527,-0.23962297399147303,1.4687400685856522,0.0015494730380860855,0.23962297399147303,1
c,1.27,90.83251427161532,0.8325142716153238,-0.16748572838467624,1.1151261195327267,0.16042048179983232,0.16748572838467624,1
Delta,1.232,90.89564246958803,0.8956424695880258,-0.10435753041197415,0.8056741686861478,0.01653685161410609,0.10435753041197415,1
Sigma,1.192642,90.9631134858042,0.9631134858042003,-0.03688651419579969,0.4749338931166652,0.0002049909480489069,0.03688651419579969,1
Lambda,1.115683,91.1017306962625,0.10173069626250708,0.10173069626250708,-0.2045622365809171,5.478276855140404e-05,0.10173069626250708,0
phi,1.019461,91.28915900221544,0.2891590022154418,-0.21084099778455823,1.3276519499243051,0.00015987586529414032,0.21084099778455823,0.5
eta',0.95778,91.41885496038216,0.41885496038216274,-0.08114503961783726,0.6918874491070454,0.0006381444962907569,0.08114503961783726,0.5
n,0.939565421,91.45875559296756,0.4587555929675631,-0.041244407032436925,0.4962961129041026,3.794674780822179e-07,0.041244407032436925,0.5
p,0.938272089,91.46161809488764,0.4616180948876405,-0.038381905112359505,0.48226424074686036,4.342749065527984e-07,0.038381905112359505,0.5
omega,0.78265,91.83848826666096,0.8384882666609599,-0.16151173333904012,1.085841830093334,0.001561878325323864,0.16151173333904012,1
rho,0.77526,91.85820336898803,0.8582033689880291,-0.14179663101197093,0.9891991716273085,0.0030221359759133076,0.14179663101197093,1
eta,0.547862,92.57966325103037,0.5796632510303681,0.07966325103036809,-0.09638848544298084,0.00031609038426267744,0.07966325103036809,0.5
K,0.493677,92.79607932355923,0.7960793235592263,-0.20392067644077372,1.2937288060822243,0.00033014948946098277,0.20392067644077372,1
pi,0.13957039,95.42135228981181,0.42135228981180717,-0.07864771018819283,0.6796456381774159,1.3137500776289895e-05,0.07864771018819283,0.5
mu,0.1056583755,95.99980450251047,0.9998045025104716,-0.00019549748952840673,0.29507596808592357,2.2174684454490317e-07,0.00019549748952840673,1
s,0.093,96.26499234086391,0.26499234086391255,-0.23500765913608745,1.4461159761572915,0.8762753199388689,0.23500765913608745,0.5
d,0.00467,102.4814655563796,0.48146555637960375,-0.018534443620396246,0.38497276284507964,1.0470270418113252,0.018534443620396246,0.5
u,0.00216,104.08377624334003,0.08377624334002576,0.08377624334002576,-0.11655021245110668,2.3108718940748987,0.08377624334002576,0
e,0.00051099895,107.07933015578304,0.07933015578304037,0.07933015578304037,-0.09475566560313907,0.0,0.07933015578304037,0
