# step a H r q
0 1.000012e-02 2.465728e-02 0.064732 0.305865
200 1.016717e-02 1.672947e-01 0.067041 0.307316
400 1.033587e-02 1.619148e-01 0.069348 0.308767
600 1.050190e-02 1.568843e-01 0.071653 0.310218
800 1.066541e-02 1.521708e-01 0.073957 0.311670
1000 1.082651e-02 1.477456e-01 0.076258 0.313122
1200 1.098533e-02 1.435833e-01 0.078557 0.314575
1400 1.114199e-02 1.396612e-01 0.080853 0.316028
1600 1.129657e-02 1.359593e-01 0.083146 0.317481
1800 1.144917e-02 1.324596e-01 0.085437 0.318934
2000 1.159989e-02 1.291459e-01 0.087725 0.320387
2200 1.174879e-02 1.260039e-01 0.090010 0.321840
2400 1.189597e-02 1.230204e-01 0.092292 0.323294
2600 1.204149e-02 1.201839e-01 0.094571 0.324747
2800 1.218541e-02 1.174836e-01 0.096848 0.326199
3000 1.232781e-02 1.149100e-01 0.099121 0.327652
3200 1.246874e-02 1.124544e-01 0.101392 0.329105
3400 1.260825e-02 1.101088e-01 0.103659 0.330557
3600 1.274639e-02 1.078661e-01 0.105923 0.332009
3800 1.288323e-02 1.057195e-01 0.108185 0.333460
4000 1.301880e-02 1.036630e-01 0.110443 0.334911
4200 1.315314e-02 1.016911e-01 0.112698 0.336361
4400 1.328631e-02 9.979870e-02 0.114950 0.337811
4600 1.341834e-02 9.798100e-02 0.117198 0.339261
4800 1.354926e-02 9.623371e-02 0.119444 0.340709
5000 1.367911e-02 9.455280e-02 0.121686 0.342157
5200 1.380794e-02 9.293457e-02 0.123924 0.343604
5400 1.393576e-02 9.137558e-02 0.126160 0.345051
5600 1.406262e-02 8.987263e-02 0.128392 0.346496
5800 1.418853e-02 8.842275e-02 0.130620 0.347941
6000 1.431353e-02 8.702319e-02 0.132845 0.349385
6200 1.443765e-02 8.567137e-02 0.135067 0.350827
6400 1.456091e-02 8.436488e-02 0.137285 0.352269
6600 1.468333e-02 8.310149e-02 0.139499 0.353710
6800 1.480495e-02 8.187910e-02 0.141710 0.355149
7000 1.492578e-02 8.069575e-02 0.143917 0.356587
7200 1.504584e-02 7.954959e-02 0.146121 0.358024
7400 1.516515e-02 7.843890e-02 0.148321 0.359460
7600 1.528374e-02 7.736205e-02 0.150517 0.360895
7800 1.540163e-02 7.631753e-02 0.152710 0.362328
8000 1.551882e-02 7.530390e-02 0.154898 0.363759
8200 1.563535e-02 7.431980e-02 0.157083 0.365189
8400 1.575123e-02 7.336396e-02 0.159264 0.366618
8600 1.586646e-02 7.243519e-02 0.161442 0.368045
8800 1.598108e-02 7.153235e-02 0.163615 0.369470
