# step a H r q
0 1.000012e-02 2.465790e-02 0.064730 0.454809
200 1.016776e-02 1.684558e-01 0.066547 0.455062
400 1.033823e-02 1.641230e-01 0.068367 0.455315
600 1.050711e-02 1.600109e-01 0.070188 0.455568
800 1.067447e-02 1.561037e-01 0.072010 0.455821
1000 1.084037e-02 1.523870e-01 0.073833 0.456073
1200 1.100486e-02 1.488473e-01 0.075657 0.456325
1400 1.116798e-02 1.454724e-01 0.077481 0.456577
1600 1.132978e-02 1.422514e-01 0.079307 0.456828
1800 1.149031e-02 1.391738e-01 0.081133 0.457079
2000 1.164961e-02 1.362303e-01 0.082959 0.457329
2200 1.180771e-02 1.334124e-01 0.084786 0.457579
2400 1.196466e-02 1.307122e-01 0.086614 0.457828
2600 1.212049e-02 1.281225e-01 0.088442 0.458077
2800 1.227524e-02 1.256365e-01 0.090270 0.458325
3000 1.242893e-02 1.232483e-01 0.092099 0.458572
3200 1.258160e-02 1.209520e-01 0.093929 0.458820
3400 1.273328e-02 1.187426e-01 0.095759 0.459066
3600 1.288400e-02 1.166151e-01 0.097589 0.459312
3800 1.303377e-02 1.145651e-01 0.099420 0.459558
4000 1.318263e-02 1.125884e-01 0.101251 0.459803
4200 1.333061e-02 1.106811e-01 0.103083 0.460047
4400 1.347772e-02 1.088397e-01 0.104915 0.460291
4600 1.362399e-02 1.070608e-01 0.106747 0.460534
4800 1.376943e-02 1.053413e-01 0.108580 0.460777
5000 1.391408e-02 1.036782e-01 0.110412 0.461019
5200 1.405795e-02 1.020688e-01 0.112246 0.461260
5400 1.420105e-02 1.005105e-01 0.114079 0.461501
5600 1.434341e-02 9.900097e-02 0.115913 0.461741
5800 1.448505e-02 9.753793e-02 0.117747 0.461981
6000 1.462597e-02 9.611925e-02 0.119581 0.462220
6200 1.476621e-02 9.474295e-02 0.121415 0.462458
6400 1.490577e-02 9.340716e-02 0.123249 0.462696
6600 1.504467e-02 9.211010e-02 0.125084 0.462932
6800 1.518292e-02 9.085012e-02 0.126919 0.463169
7000 1.532054e-02 8.962564e-02 0.128753 0.463404
7200 1.545754e-02 8.843519e-02 0.130588 0.463639
7400 1.559393e-02 8.727736e-02 0.132423 0.463873
7600 1.572973e-02 8.615082e-02 0.134258 0.464106
7800 1.586495e-02 8.505433e-02 0.136093 0.464339
8000 1.599960e-02 8.398668e-02 0.137928 0.464571
8200 1.613370e-02 8.294675e-02 0.139763 0.464802
8400 1.626724e-02 8.193348e-02 0.141598 0.465033
8600 1.640026e-02 8.094584e-02 0.143433 0.465262
8800 1.653275e-02 7.998288e-02 0.145268 0.465491
9000 1.666472e-02 7.904366e-02 0.147103 0.465719
9200 1.679619e-02 7.812733e-02 0.148938 0.465947
9400 1.692716e-02 7.723304e-02 0.150773 0.466173
9600 1.705765e-02 7.636001e-02 0.152608 0.466399
9800 1.718766e-02 7.550748e-02 0.154443 0.466624
10000 1.731721e-02 7.467473e-02 0.156277 0.466849
10200 1.744629e-02 7.386108e-02 0.158112 0.467072
10400 1.757492e-02 7.306587e-02 0.159946 0.467295
10600 1.770311e-02 7.228847e-02 0.161780 0.467516
10800 1.783087e-02 7.152829e-02 0.163614 0.467737
11000 1.795819e-02 7.078475e-02 0.165448 0.467958
11200 1.808510e-02 7.005731e-02 0.167282 0.468177
11400 1.821159e-02 6.934544e-02 0.169116 0.468396
11600 1.833767e-02 6.864865e-02 0.170949 0.468613
11800 1.846335e-02 6.796644e-02 0.172782 0.468830
12000 1.858864e-02 6.729837e-02 0.174616 0.469046
12200 1.871355e-02 6.664399e-02 0.176449 0.469261
12400 1.883807e-02 6.600287e-02 0.178281 0.469476
12600 1.896221e-02 6.537462e-02 0.180114 0.469689
12800 1.908599e-02 6.475883e-02 0.181947 0.469902
13000 1.920941e-02 6.415514e-02 0.183779 0.470114
13200 1.933247e-02 6.356319e-02 0.185611 0.470324
13400 1.945517e-02 6.298263e-02 0.187443 0.470534
13600 1.957753e-02 6.241313e-02 0.189275 0.470743
13800 1.969955e-02 6.185436e-02 0.191107 0.470952
14000 1.982123e-02 6.130603e-02 0.192938 0.471159
14200 1.994257e-02 6.076783e-02 0.194769 0.471365
14400 2.006360e-02 6.023947e-02 0.196600 0.471571
14600 2.018430e-02 5.972070e-02 0.198431 0.471776
14800 2.030468e-02 5.921123e-02 0.200262 0.471979
15000 2.042474e-02 5.871081e-02 0.202093 0.472182
